Sentence No.,Text,Ground Truth Entities,spaCy Predictions,NLTK Predictions,spaCy TP,spaCy FP,spaCy FN
1,"Apple Inc. CEO Tim Cook announced a new product launch in Cupertino, C...","[('Apple Inc.', 'ORG'), ('Tim Cook', 'PERSON'), ('Cupertino', 'GPE'), ('California', 'GPE'), ('Monday', 'DATE')]","[('Apple Inc.', 'ORG'), ('Tim Cook', 'PERSON'), ('Cupertino', 'GPE'), ('California', 'GPE'), ('Monday', 'DATE')]","[('Apple', 'PERSON'), ('Inc.', 'ORGANIZATION'), ('Tim Cook', 'PERSON'), ('Cupertino', 'GPE'), ('California', 'GPE')]",5,0,0
2,The United Nations held an emergency meeting in New York to discuss th...,"[('United Nations', 'ORG'), ('New York', 'GPE'), ('Ukraine', 'GPE')]","[('The United Nations', 'ORG'), ('New York', 'GPE'), ('Ukraine', 'GPE')]","[('United Nations', 'ORGANIZATION'), ('New York', 'GPE'), ('Ukraine', 'GPE')]",2,1,1
3,Elon Musk's SpaceX successfully launched a rocket from Cape Canaveral ...,"[('Elon Musk', 'PERSON'), ('SpaceX', 'ORG'), ('Cape Canaveral', 'GPE'), ('Friday', 'DATE')]","[(""Elon Musk's"", 'PERSON'), ('Cape Canaveral', 'GPE'), ('Friday', 'DATE')]","[('Elon', 'PERSON'), ('Musk', 'ORGANIZATION'), ('SpaceX', 'ORGANIZATION'), ('Cape', 'GPE')]",2,1,2
4,"Amazon reported record profits of $10 billion in the fourth quarter, s...","[('Amazon', 'ORG'), ('$10 billion', 'MONEY'), ('Andy Jassy', 'PERSON')]","[('Amazon', 'ORG'), ('$10 billion', 'MONEY'), ('the fourth quarter', 'DATE'), ('Andy Jassy', 'PERSON')]","[('Amazon', 'PERSON'), ('CEO Andy Jassy', 'ORGANIZATION')]",3,1,0
5,The World Health Organization declared a new health advisory in Geneva...,"[('World Health Organization', 'ORG'), ('Geneva', 'GPE'), ('Switzerland', 'GPE')]","[('The World Health Organization', 'ORG'), ('Geneva', 'GPE'), ('Switzerland', 'GPE')]","[('World', 'ORGANIZATION'), ('Geneva', 'GPE'), ('Switzerland', 'GPE')]",2,1,1
6,President Joe Biden met with French President Emmanuel Macron at the W...,"[('Joe Biden', 'PERSON'), ('Emmanuel Macron', 'PERSON'), ('White House', 'FAC'), ('Washington D.C.', 'GPE')]","[('Joe Biden', 'PERSON'), ('French', 'NORP'), ('Emmanuel Macron', 'PERSON'), ('the White House', 'FAC'), ('Washington D.C.', 'GPE')]","[('Joe Biden', 'PERSON'), ('French', 'GPE'), ('Emmanuel Macron', 'PERSON'), ('White House', 'FACILITY'), ('Washington', 'GPE')]",3,2,1
7,Google DeepMind published a groundbreaking AI research paper in London...,"[('Google DeepMind', 'ORG'), ('London', 'GPE'), ('last week', 'DATE')]","[('Google DeepMind', 'ORG'), ('AI', 'GPE'), ('London', 'GPE'), ('last week', 'DATE')]","[('Google', 'PERSON'), ('DeepMind', 'ORGANIZATION'), ('London', 'GPE')]",3,1,0
8,The Indian Premier League match between Mumbai Indians and Chennai Sup...,"[('Indian Premier League', 'ORG'), ('Mumbai Indians', 'ORG'), ('Chennai Super Kings', 'ORG'), ('Mumbai', 'GPE')]","[('Indian', 'NORP'), ('Mumbai Indians', 'ORG'), ('Chennai Super Kings', 'ORG'), ('Mumbai', 'GPE')]","[('Indian', 'GPE'), ('Mumbai Indians', 'ORGANIZATION'), ('Chennai Super Kings', 'PERSON'), ('Mumbai', 'GPE')]",3,1,1
9,Just watched the new Marvel movie in Los Angeles — absolutely loved it...,"[('Los Angeles', 'GPE'), ('Marvel', 'ORG'), ('chrisevans', 'PERSON')]","[('Marvel', 'PRODUCT'), ('Los Angeles', 'GPE'), ('@chrisevans', 'NORP')]","[('Marvel', 'PERSON'), ('Los Angeles', 'GPE')]",1,2,2
10,"Excited to attend the Tesla conference in Austin, Texas next month! #E...","[('Tesla', 'ORG'), ('Austin', 'GPE'), ('Texas', 'GPE'), ('ElonMusk', 'PERSON')]","[('Tesla', 'NORP'), ('Austin', 'GPE'), ('Texas', 'GPE'), ('next month', 'DATE'), ('#ElonMusk #', 'MONEY'), ('Tesla', 'PERSON')]","[('Tesla', 'GPE'), ('Austin', 'GPE'), ('Texas', 'GPE'), ('ElonMusk', 'ORGANIZATION')]",2,4,2
11,NASA just released stunning images of Mars from the Perseverance rover...,"[('NASA', 'ORG'), ('Mars', 'LOC'), ('Perseverance', 'PRODUCT')]","[('NASA', 'ORG'), ('Mars', 'LOC'), ('Perseverance', 'PERSON')]","[('NASA', 'ORGANIZATION'), ('Perseverance', 'GPE'), ('Science', 'PERSON')]",2,1,1
12,Congrats to Novak Djokovic for winning Wimbledon 2024! Greatest of all...,"[('Novak Djokovic', 'PERSON'), ('Wimbledon', 'EVENT'), ('2024', 'DATE')]","[('Congrats', 'NORP'), ('Novak Djokovic', 'ORG'), ('Wimbledon 2024', 'WORK_OF_ART'), ('Greatest', 'PERSON')]","[('Novak Djokovic', 'PERSON')]",0,4,3
13,Breaking: Microsoft acquires Activision Blizzard in a $69 billion deal...,"[('Microsoft', 'ORG'), ('Activision Blizzard', 'ORG'), ('$69 billion', 'MONEY'), ('UK', 'GPE')]","[('Microsoft', 'ORG'), ('Activision Blizzard', 'PERSON'), ('$69 billion', 'MONEY'), ('UK', 'GPE')]","[('Microsoft', 'ORGANIZATION'), ('UK', 'ORGANIZATION')]",3,1,1
14,The Prime Minister of Canada Justin Trudeau visited Toronto for the cl...,"[('Canada', 'GPE'), ('Justin Trudeau', 'PERSON'), ('Toronto', 'GPE')]","[('Canada', 'GPE'), ('Justin Trudeau', 'PERSON'), ('Toronto', 'GPE')]","[('Canada', 'GPE'), ('Trudeau', 'PERSON'), ('Toronto', 'ORGANIZATION')]",3,0,0
15,OpenAI launched ChatGPT-4 in San Francisco and it's changing everythin...,"[('OpenAI', 'ORG'), ('ChatGPT-4', 'PRODUCT'), ('San Francisco', 'GPE')]","[('OpenAI', 'PERSON'), ('ChatGPT-4', 'ORG'), ('San Francisco', 'GPE'), ('Tech', 'PERSON')]","[('OpenAI', 'ORGANIZATION'), ('San Francisco', 'GPE')]",1,3,2
